tradedate;tradetime;B1;B2;B3;T1;G1;G2;G3;G4;G5;G6;G7;G8;G9
05.08.2014;18:37:24;932,200034;-187,845185;77,511977;0,736837;-5,022504;-1,963442;-4,090355;7,030874;9,808368;0,998125;-3,031686;0,000000;0,000000
06.08.2014;18:38:33;949,165717;-194,344928;95,579046;1,004532;0,184114;-12,748640;2,222834;13,204623;8,357698;0,674464;-3,765753;0,000000;0,000000
07.08.2014;18:36:18;950,003541;-198,325991;114,138874;1,134329;2,249229;-5,235338;-7,580098;19,197422;12,649831;-3,024680;-6,735384;0,000000;0,000000
08.08.2014;18:38:25;948,988834;-216,339794;140,261371;1,279184;3,373300;-20,148466;-0,033252;18,599040;9,875805;-1,623492;-4,696972;0,000000;0,000000
11.08.2014;18:39:20;928,886792;-216,829659;140,280239;1,010797;-0,801247;-4,682407;1,898230;6,390544;5,247774;-9,218235;-5,235159;0,000000;0,000000
12.08.2014;18:39:50;918,808559;-208,269949;144,088960;1,101644;-0,049229;-4,061237;-0,084737;12,075078;-4,259221;-5,379616;-1,857161;0,000000;0,000000
13.08.2014;18:39:36;915,611610;-183,165915;145,183692;1,303530;2,138948;-1,492167;-6,278120;11,459392;1,693457;-3,950777;-2,819207;0,000000;0,000000
14.08.2014;18:39:04;905,819385;-180,005011;148,831273;1,261695;3,107957;-5,726971;-0,216401;9,660830;-0,887429;-2,700217;-2,622408;0,000000;0,000000
15.08.2014;18:39:04;896,972164;-144,703437;148,215858;1,676832;15,784225;-7,623096;1,083881;11,432575;-3,942761;-7,925767;-5,374389;0,000000;0,000000
18.08.2014;18:29:18;895,837375;-142,565766;153,041089;1,700526;5,977525;-17,659851;0,756963;13,616508;-0,928438;-2,178502;-1,769896;0,000000;0,000000
19.08.2014;18:38:11;902,049273;-135,799393;159,531408;1,867011;13,017394;-12,146586;-16,007002;23,400492;-0,011167;-5,806768;-4,820602;0,000000;0,000000
20.08.2014;18:39:19;896,274402;-137,708736;165,207451;1,842843;2,238489;-12,096050;-11,538697;14,985923;-0,174695;-1,508484;-1,907759;0,000000;0,000000
21.08.2014;18:39:39;895,577485;-150,482335;172,271036;1,694391;0,011767;0,621702;-6,227229;6,293935;-1,821789;-3,001893;-2,351355;0,000000;0,000000
22.08.2014;18:39:41;897,159920;-186,602936;188,156770;1,301713;-6,643383;-4,788391;-6,473132;12,384488;3,598996;-1,343282;-1,066851;0,000000;0,000000
25.08.2014;18:39:02;896,891698;-201,742490;193,400760;1,256514;-7,845728;0,439451;-7,965570;7,609338;5,667664;-0,489958;-0,777085;0,000000;0,000000
26.08.2014;18:39:58;899,731857;-210,293284;198,443893;1,122464;-2,095077;1,848138;-8,444835;5,178539;0,038334;-0,445170;-0,596846;0,000000;0,000000
27.08.2014;18:39:01;901,245183;-197,201698;199,212248;1,264414;1,176210;-1,549107;-2,378333;8,896534;-2,774484;-2,936675;-2,772188;0,000000;0,000000
28.08.2014;18:38:43;923,794925;-179,401375;211,247807;1,554637;3,686024;-12,528803;-4,030827;14,573681;6,443288;-0,060936;-2,863290;0,000000;0,000000
29.08.2014;18:39:56;929,543953;-153,195450;215,431277;1,571802;-0,028153;6,552151;-12,798629;14,753308;3,790067;-3,398605;-2,664697;0,000000;0,000000
01.09.2014;18:39:37;934,533915;-176,949333;231,823303;1,263819;-3,555506;25,038229;-20,770281;5,435735;5,502221;-3,631492;-3,765620;0,000000;0,000000
02.09.2014;18:39:35;932,848839;-195,661697;242,496138;1,319450;-6,658343;5,767484;-15,576900;15,384773;8,506244;2,821531;-0,881836;0,000000;0,000000
03.09.2014;18:39:57;905,794236;-211,145895;250,377144;1,107211;-2,851265;-0,923909;-2,716661;11,544407;-3,304399;-1,183117;2,968214;0,000000;0,000000
